acetone: 	 26.0644:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=17, tm_min=11, tm_sec=43, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0644:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=17, tm_min=12, tm_sec=9, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=17, tm_min=12, tm_sec=35, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0648:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=43, tm_sec=35, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0648:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=44, tm_sec=1, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0648:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=44, tm_sec=26, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0655:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=22, tm_min=15, tm_sec=27, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0655:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=22, tm_min=15, tm_sec=53, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0654:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=22, tm_min=16, tm_sec=18, tm_wday=3, tm_yday=109, tm_isdst=1) 
acetone: 	 26.0656:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=47, tm_sec=15, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0656:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=47, tm_sec=40, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0656:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=48, tm_sec=6, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0658:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=3, tm_min=19, tm_sec=11, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0658:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=3, tm_min=19, tm_sec=36, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0658:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=3, tm_min=20, tm_sec=2, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0660:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=51, tm_sec=17, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0659:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=51, tm_sec=43, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0659:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=52, tm_sec=9, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0661:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=8, tm_min=23, tm_sec=5, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0661:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=8, tm_min=23, tm_sec=31, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0660:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=8, tm_min=23, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0658:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=55, tm_sec=0, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0658:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=55, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0657:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=55, tm_sec=51, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=13, tm_min=26, tm_sec=52, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=13, tm_min=27, tm_sec=18, tm_wday=4, tm_yday=110, tm_isdst=1) 
acetone: 	 26.0646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=13, tm_min=27, tm_sec=44, tm_wday=4, tm_yday=110, tm_isdst=1) 
