water: 	 28.9663:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=10, tm_sec=8, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9664:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=10, tm_sec=34, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9664:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=10, tm_sec=59, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9669:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=41, tm_sec=59, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9669:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=42, tm_sec=25, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9669:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=42, tm_sec=51, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9674:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=13, tm_sec=49, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9674:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=14, tm_sec=15, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9674:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=14, tm_sec=40, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9679:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=45, tm_sec=37, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9679:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=46, tm_sec=3, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9679:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=46, tm_sec=28, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9681:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=17, tm_sec=30, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9681:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=17, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9681:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=18, tm_sec=21, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9685:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=49, tm_sec=23, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9685:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=49, tm_sec=49, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9685:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=50, tm_sec=15, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9686:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=21, tm_sec=30, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9686:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=21, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9686:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=22, tm_sec=21, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9686:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=9, tm_min=53, tm_sec=19, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9685:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=9, tm_min=53, tm_sec=45, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9685:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=9, tm_min=54, tm_sec=11, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=25, tm_sec=16, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=25, tm_sec=42, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=26, tm_sec=8, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=57, tm_sec=16, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9675:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=57, tm_sec=42, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=58, tm_sec=7, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9673:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=29, tm_sec=8, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9673:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=29, tm_sec=34, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9673:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=29, tm_sec=59, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9668:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=0, tm_sec=51, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9668:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=1, tm_sec=17, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9668:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=1, tm_sec=43, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9666:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=32, tm_sec=28, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9666:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=32, tm_sec=54, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9666:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=33, tm_sec=20, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 28.9661:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=4, tm_sec=19, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9661:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=4, tm_sec=45, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9661:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=5, tm_sec=11, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9656:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=36, tm_sec=6, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9656:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=36, tm_sec=32, tm_wday=5, tm_yday=111, tm_isdst=1) 
