ethanol: 	 24.7426:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=40, tm_sec=56, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7426:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=41, tm_sec=22, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7427:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=41, tm_sec=48, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7432:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=12, tm_sec=48, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7432:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=13, tm_sec=13, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7432:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=13, tm_sec=39, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7438:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=44, tm_sec=37, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7438:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=45, tm_sec=3, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7438:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=45, tm_sec=28, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 24.7440:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7441:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=52, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7440:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=17, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7443:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=48, tm_sec=19, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7443:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=48, tm_sec=45, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7443:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=49, tm_sec=11, tm_wday=4, tm_yday=110, tm_isdst=1) 
