acetone_chemspeed_2: 	 26.4105:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=13, tm_min=4, tm_sec=21, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4105:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=13, tm_min=4, tm_sec=47, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4105:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=13, tm_min=5, tm_sec=12, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4105:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=36, tm_sec=21, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4105:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=36, tm_sec=47, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4105:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=37, tm_sec=13, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4106:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=22, tm_sec=33, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4106:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=22, tm_sec=58, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4106:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=23, tm_sec=24, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=54, tm_sec=36, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=55, tm_sec=2, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=55, tm_sec=27, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4110:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=26, tm_sec=40, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=27, tm_sec=6, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=27, tm_sec=32, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4103:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=58, tm_sec=39, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4103:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=59, tm_sec=4, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4103:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=59, tm_sec=30, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4103:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=30, tm_sec=51, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4103:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=31, tm_sec=17, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4103:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=31, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4100:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=8, tm_min=2, tm_sec=51, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4100:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=8, tm_min=3, tm_sec=17, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4100:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=8, tm_min=3, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4101:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=34, tm_sec=55, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4101:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=35, tm_sec=21, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4101:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=35, tm_sec=47, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4098:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=13, tm_min=6, tm_sec=52, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4098:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=13, tm_min=7, tm_sec=18, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4098:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=13, tm_min=7, tm_sec=44, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=17, tm_min=12, tm_sec=22, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=17, tm_min=12, tm_sec=48, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=17, tm_min=13, tm_sec=13, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=44, tm_sec=26, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=44, tm_sec=51, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4098:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=45, tm_sec=17, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=22, tm_min=16, tm_sec=33, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=22, tm_min=16, tm_sec=58, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=22, tm_min=17, tm_sec=24, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=48, tm_sec=50, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=49, tm_sec=16, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=49, tm_sec=42, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4085:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=3, tm_min=21, tm_sec=4, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4085:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=3, tm_min=21, tm_sec=30, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4085:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=3, tm_min=21, tm_sec=56, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4083:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=53, tm_sec=17, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4084:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=53, tm_sec=43, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4084:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=54, tm_sec=9, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4080:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=25, tm_sec=31, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4081:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=25, tm_sec=56, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4081:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=26, tm_sec=22, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=58, tm_sec=2, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=58, tm_sec=28, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=58, tm_sec=54, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=30, tm_sec=23, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=30, tm_sec=48, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=31, tm_sec=14, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4074:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=16, tm_min=2, tm_sec=34, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4074:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=16, tm_min=3, tm_sec=0, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.4074:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=16, tm_min=3, tm_sec=26, tm_wday=4, tm_yday=271, tm_isdst=1) 
