ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=41, tm_sec=24, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=41, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=42, tm_sec=15, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=13, tm_sec=24, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=13, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=14, tm_sec=15, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=59, tm_sec=35, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=0, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=31, tm_sec=36, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=32, tm_sec=2, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=32, tm_sec=27, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1166:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=3, tm_sec=46, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=4, tm_sec=12, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=4, tm_sec=37, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1175:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=35, tm_sec=42, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1176:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=36, tm_sec=8, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1176:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=36, tm_sec=33, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=7, tm_sec=52, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=8, tm_sec=18, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1170:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=8, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1168:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=39, tm_sec=49, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1168:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=40, tm_sec=15, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1168:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=40, tm_sec=40, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1170:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=11, tm_sec=58, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1170:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=12, tm_sec=24, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1170:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=12, tm_sec=50, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=43, tm_sec=58, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=44, tm_sec=24, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=44, tm_sec=50, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1168:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=16, tm_sec=3, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=16, tm_sec=28, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=16, tm_sec=54, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=49, tm_sec=22, tm_wday=3, tm_yday=270, tm_isdst=1) 
