water_chempseed: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=16, tm_min=54, tm_sec=3, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=16, tm_min=54, tm_sec=29, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=16, tm_min=54, tm_sec=54, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=26, tm_sec=14, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=26, tm_sec=40, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=27, tm_sec=6, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3203:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=21, tm_min=58, tm_sec=24, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3203:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=21, tm_min=58, tm_sec=50, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=21, tm_min=59, tm_sec=16, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chempseed: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=30, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=31, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=31, tm_sec=32, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=3, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=3, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=3, tm_sec=52, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=35, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=35, tm_sec=36, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=36, tm_sec=2, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=7, tm_sec=27, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=7, tm_sec=52, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=8, tm_sec=18, tm_wday=2, tm_yday=269, tm_isdst=1) 
