water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=15, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=16, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=16, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=35, tm_sec=14, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=35, tm_sec=40, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=36, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=47, tm_sec=39, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=48, tm_sec=5, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=48, tm_sec=30, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=19, tm_sec=38, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=20, tm_sec=4, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=20, tm_sec=29, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=16, tm_min=51, tm_sec=39, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=16, tm_min=52, tm_sec=5, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=16, tm_min=52, tm_sec=30, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=30, tm_sec=15, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=30, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=31, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=49, tm_sec=53, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=50, tm_sec=18, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=50, tm_sec=44, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=5, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=6, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=6, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3212:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=20, tm_min=37, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3212:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=20, tm_min=38, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3212:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=20, tm_min=38, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=9, tm_sec=54, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=10, tm_sec=20, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=10, tm_sec=46, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=1, tm_min=41, tm_sec=57, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=1, tm_min=42, tm_sec=23, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=1, tm_min=42, tm_sec=49, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=13, tm_sec=57, tm_wday=3, tm_yday=270, tm_isdst=1) 
