water_chemspeed: 	 28.3858:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=1, tm_sec=31, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3858:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=1, tm_sec=57, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3858:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=2, tm_sec=23, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3860:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=33, tm_sec=42, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3861:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=34, tm_sec=7, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3861:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=34, tm_sec=33, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3862:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=5, tm_sec=56, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3862:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=6, tm_sec=22, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3862:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=6, tm_sec=47, tm_wday=1, tm_yday=268, tm_isdst=1) 
water_chemspeed: 	 28.3859:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=38, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3859:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=38, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3859:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=39, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3860:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=10, tm_sec=29, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3860:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=10, tm_sec=55, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3860:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=11, tm_sec=21, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3866:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=42, tm_sec=37, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3866:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=43, tm_sec=3, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3866:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=43, tm_sec=28, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3860:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=14, tm_sec=55, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3860:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=15, tm_sec=20, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed: 	 28.3861:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=15, tm_sec=46, tm_wday=2, tm_yday=269, tm_isdst=1) 
