water_chemspeed_2: 	 28.4829:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=38, tm_sec=19, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4830:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=38, tm_sec=45, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4830:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=39, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4515:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=10, tm_sec=19, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4515:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=10, tm_sec=44, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4515:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=11, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4516:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=42, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4516:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=42, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4516:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=43, tm_sec=7, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4523:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=14, tm_sec=13, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4523:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=14, tm_sec=39, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4523:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=15, tm_sec=5, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4512:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=28, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4513:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=28, tm_sec=52, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4512:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=29, tm_sec=18, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4514:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=0, tm_sec=28, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4513:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=0, tm_sec=54, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4514:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=1, tm_sec=20, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4510:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=32, tm_sec=37, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4511:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=33, tm_sec=3, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4510:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=33, tm_sec=28, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4510:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=4, tm_sec=38, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4511:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=5, tm_sec=4, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4510:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=5, tm_sec=30, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4509:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=36, tm_sec=50, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4510:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=37, tm_sec=16, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4510:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=37, tm_sec=41, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4513:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=8, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4513:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=9, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4513:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=9, tm_sec=34, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4514:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=40, tm_sec=45, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4513:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=41, tm_sec=11, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4514:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=41, tm_sec=37, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4507:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=12, tm_sec=51, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4507:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=13, tm_sec=17, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4508:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=13, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4512:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=14, tm_min=44, tm_sec=51, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4512:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=14, tm_min=45, tm_sec=17, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4512:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=14, tm_min=45, tm_sec=42, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4506:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=18, tm_sec=14, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4506:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=18, tm_sec=40, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4506:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=19, tm_sec=5, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4504:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=18, tm_min=50, tm_sec=19, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4504:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=18, tm_min=50, tm_sec=44, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4503:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=18, tm_min=51, tm_sec=10, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4501:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=22, tm_sec=24, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4501:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=22, tm_sec=50, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4501:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=23, tm_sec=15, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4499:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=23, tm_min=54, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4499:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=23, tm_min=55, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chemspeed_2: 	 28.4499:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=23, tm_min=55, tm_sec=34, tm_wday=3, tm_yday=270, tm_isdst=1) 
