ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=47, tm_sec=55, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1164:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=48, tm_sec=21, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1164:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=48, tm_sec=47, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=20, tm_sec=5, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=20, tm_sec=31, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=20, tm_sec=57, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=52, tm_sec=20, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=52, tm_sec=45, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=53, tm_sec=11, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=24, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=25, tm_sec=8, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1163:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=25, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1170:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=56, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=57, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1171:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=57, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1166:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=29, tm_sec=7, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=29, tm_sec=33, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.1167:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=29, tm_sec=58, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=57, tm_sec=13, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=57, tm_sec=38, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=58, tm_sec=4, tm_wday=2, tm_yday=269, tm_isdst=1) 
