acetone_chemspeed: 	 26.3394:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=55, tm_sec=46, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3396:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=56, tm_sec=12, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3396:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=56, tm_sec=38, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3397:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=27, tm_sec=54, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3398:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=28, tm_sec=20, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3397:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=28, tm_sec=46, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3393:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=0, tm_sec=10, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3393:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=0, tm_sec=36, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3393:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=1, tm_sec=2, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.3393:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=32, tm_sec=33, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3394:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=32, tm_sec=59, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3394:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=33, tm_sec=25, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3391:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=4, tm_sec=40, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3391:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=5, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3391:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=5, tm_sec=32, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3388:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=36, tm_sec=58, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3389:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=37, tm_sec=24, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.3389:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=37, tm_sec=49, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=59, tm_sec=23, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=59, tm_sec=48, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=0, tm_sec=14, tm_wday=2, tm_yday=269, tm_isdst=1) 
