acetone_chemspeed: 	 26.1036:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=46, tm_sec=4, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1036:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=46, tm_sec=30, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1036:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=46, tm_sec=55, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1032:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=18, tm_sec=0, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1031:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=18, tm_sec=26, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1031:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=18, tm_sec=52, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1027:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=50, tm_sec=7, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1027:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=50, tm_sec=32, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1028:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=50, tm_sec=58, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1026:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=22, tm_sec=5, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1026:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=22, tm_sec=31, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 26.1026:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=22, tm_sec=57, tm_wday=4, tm_yday=166, tm_isdst=1) 
