water_chempseed: 	 28.0898:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=15, tm_min=29, tm_sec=17, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0899:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=15, tm_min=29, tm_sec=43, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0899:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=15, tm_min=30, tm_sec=9, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0890:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=17, tm_min=1, tm_sec=19, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0890:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=17, tm_min=1, tm_sec=45, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0891:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=17, tm_min=2, tm_sec=10, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0881:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=33, tm_sec=16, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0881:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=33, tm_sec=42, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0881:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=34, tm_sec=8, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0878:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=20, tm_min=5, tm_sec=22, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0878:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=20, tm_min=5, tm_sec=47, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0878:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=20, tm_min=6, tm_sec=13, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0877:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=37, tm_sec=25, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0877:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=37, tm_sec=51, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0877:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=38, tm_sec=16, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0879:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=23, tm_min=9, tm_sec=26, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0879:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=23, tm_min=9, tm_sec=52, tm_wday=4, tm_yday=166, tm_isdst=1) 
