ethanol_chemspeed: 	 25.3030:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=15, tm_sec=4, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3030:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=15, tm_sec=30, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3031:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=15, tm_sec=56, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3029:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=17, tm_min=47, tm_sec=6, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3029:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=17, tm_min=47, tm_sec=31, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3030:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=17, tm_min=47, tm_sec=57, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3024:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=19, tm_sec=8, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3024:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=19, tm_sec=34, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3024:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=20, tm_sec=0, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3025:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=20, tm_min=51, tm_sec=14, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3024:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=20, tm_min=51, tm_sec=39, tm_wday=4, tm_yday=166, tm_isdst=1) 
ethanol_chemspeed: 	 25.3024:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=20, tm_min=52, tm_sec=5, tm_wday=4, tm_yday=166, tm_isdst=1) 
