acetone: 	 24.9481:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=37, tm_sec=10, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.9481:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=37, tm_sec=36, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.9480:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=38, tm_sec=2, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.9296:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=19, tm_sec=44, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.9295:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=20, tm_sec=10, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.9294:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=20, tm_sec=35, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8972:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=51, tm_sec=40, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=52, tm_sec=6, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=52, tm_sec=32, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8624:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=23, tm_sec=41, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8623:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=24, tm_sec=7, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8622:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=24, tm_sec=33, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8258:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=55, tm_sec=56, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8257:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=56, tm_sec=22, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8256:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=56, tm_sec=47, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7887:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=28, tm_sec=3, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7886:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=28, tm_sec=29, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7885:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=28, tm_sec=54, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7514:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=10, tm_min=0, tm_sec=3, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7513:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=10, tm_min=0, tm_sec=29, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7513:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=10, tm_min=0, tm_sec=54, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7114:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=32, tm_sec=15, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7112:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=32, tm_sec=41, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.7111:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=33, tm_sec=7, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6678:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=15, tm_min=4, tm_sec=15, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6677:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=15, tm_min=4, tm_sec=40, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=15, tm_min=5, tm_sec=6, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6258:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=17, tm_min=36, tm_sec=2, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6257:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=17, tm_min=36, tm_sec=27, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6256:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=17, tm_min=36, tm_sec=53, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5873:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=20, tm_min=7, tm_sec=55, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5872:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=20, tm_min=8, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5871:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=20, tm_min=8, tm_sec=47, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5478:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=39, tm_sec=48, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5478:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=40, tm_sec=13, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5477:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=40, tm_sec=39, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5088:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=1, tm_min=12, tm_sec=0, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.5086:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=1, tm_min=12, tm_sec=26, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.5085:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=1, tm_min=12, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=44, tm_sec=12, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4709:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=44, tm_sec=37, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=45, tm_sec=3, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4333:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=6, tm_min=16, tm_sec=2, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4332:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=6, tm_min=16, tm_sec=28, tm_wday=4, tm_yday=103, tm_isdst=1) 
