water: 	 29.0125:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=17, tm_min=48, tm_sec=52, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0125:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=17, tm_min=49, tm_sec=17, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0125:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=17, tm_min=49, tm_sec=43, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0123:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=25, tm_sec=35, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0123:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=26, tm_sec=1, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0123:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=26, tm_sec=26, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0122:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=22, tm_min=57, tm_sec=32, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0121:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=22, tm_min=57, tm_sec=57, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0122:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=22, tm_min=58, tm_sec=23, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0119:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=29, tm_sec=26, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0119:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=29, tm_sec=51, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0119:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=30, tm_sec=17, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0118:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=1, tm_sec=39, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0117:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=2, tm_sec=5, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0117:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=2, tm_sec=30, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0117:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=33, tm_sec=53, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0116:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=34, tm_sec=19, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0117:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=34, tm_sec=44, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0114:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=5, tm_sec=57, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0114:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=6, tm_sec=23, tm_wday=3, tm_yday=102, tm_isdst=1) 
