ethanol: 	 27.0333:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=35, tm_sec=36, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0334:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=36, tm_sec=2, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0334:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=36, tm_sec=27, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0332:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=48, tm_sec=52, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0332:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=49, tm_sec=17, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0332:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=49, tm_sec=43, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0329:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=20, tm_sec=46, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0329:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=21, tm_sec=12, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0328:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=21, tm_sec=38, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.0326:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=52, tm_sec=42, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0327:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=53, tm_sec=8, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0327:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=53, tm_sec=34, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0325:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=25, tm_sec=3, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0325:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=25, tm_sec=29, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0325:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=25, tm_sec=55, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0322:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=57, tm_sec=10, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0322:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=57, tm_sec=35, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0322:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=58, tm_sec=1, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0320:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=29, tm_sec=11, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.0321:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=29, tm_sec=36, tm_wday=3, tm_yday=102, tm_isdst=1) 
