Sample Name	 Mass (g):	 Time: 
0TT 	 0.0108	 2025-03-06 10:41:44.835860 
1TT 	 0.0101	 2025-03-06 10:51:13.769260 
2TT 	 0.0105	 2025-03-06 11:00:37.088996 
3TT 	 0.0101	 2025-03-06 11:10:26.848329 
4TT 	 0.0102	 2025-03-06 11:20:01.139234 
5TT 	 0.0104	 2025-03-06 11:29:39.760186 
0TT 	 0.0104	 2025-03-06 15:46:23.441480 
1TT 	 0.0102	 2025-03-06 15:55:49.617783 
2TT 	 0.0104	 2025-03-06 16:05:12.171293 
3TT 	 0.0103	 2025-03-06 16:14:47.632860 
4TT 	 0.0101	 2025-03-06 16:24:33.195354 
5TT 	 0.0102	 2025-03-06 16:34:10.702558 
0TT 	 0.0103	 2025-03-11 10:24:55.949139 
1TT 	 0.0101	 2025-03-11 10:34:27.676024 
